university_name,major_name,capacity
Universitas Pendidikan Indonesia,Ilmu Komputer,41
Universitas Pendidikan Indonesia,Pendidikan Teknik Arsitektur,27
Universitas Pendidikan Indonesia,Pendidikan Teknik Bangunan,27
Universitas Pendidikan Indonesia,Pendidikan Teknik Elektro,50
Universitas Pendidikan Indonesia,Pendidikan Teknik Mesin,41
Universitas Pendidikan Indonesia,Ilmu Keolahragaan,59
Universitas Pendidikan Indonesia,Teknik Elektro,50
Universitas Pendidikan Indonesia,Pendidikan Teknologi Agro Industri ,36
Universitas Pendidikan Indonesia,Teknik Sipil,54
Universitas Pendidikan Indonesia,Pendidikan Ilmu Pengetahuan Alam,16
Universitas Pendidikan Indonesia,Arsitektur,27
Universitas Pendidikan Indonesia,Pendidikan Kelautan Dan Perikanan Kampus Serang,45
Universitas Pendidikan Indonesia,Pendidikan Multimedia Kampus Cibiru,45
Universitas Pendidikan Indonesia,Pendidikan Sistem Dan Teknologi Informasi Kampus Purwakarta,45
Universitas Islam Negeri Sunan Gunung Djati,Matematika,32
Universitas Islam Negeri Sunan Gunung Djati,Biologi,32
Universitas Islam Negeri Sunan Gunung Djati,Fisika,16
Universitas Islam Negeri Sunan Gunung Djati,Kimia,32
Universitas Islam Negeri Sunan Gunung Djati,Teknik Informatika,48
Universitas Islam Negeri Sunan Gunung Djati,Teknik Elektro,32
Universitas Islam Negeri Sunan Gunung Djati,Agroteknologi,32
Institut Pertanian Bogor,Agribisnis,55
Institut Pertanian Bogor,Agronomi Dan Hortikultura,78
Institut Pertanian Bogor,Arsitektur Lansekap,35
Institut Pertanian Bogor,Biokimia,40
Institut Pertanian Bogor,Biologi,42
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,40
Institut Pertanian Bogor,Ilmu Dan Teknologi Kelautan,41
Institut Pertanian Bogor,Ilmu Komputer,49
Institut Pertanian Bogor,Kedokteran Hewan,86
Institut Pertanian Bogor,Kimia,41
Institut Pertanian Bogor,Komunikasi Dan Pengembangan Masyarakat,53
Institut Pertanian Bogor,Konservasi Sumberdayahutan& Ekowisata,45
Institut Pertanian Bogor,Manajemen Hutan,43
Institut Pertanian Bogor,Statistika,37
Institut Pertanian Bogor,Teknik Pertanian Dan Biosistem,50
Institut Pertanian Bogor,Teknologi Hasil Hutan,30
Institut Pertanian Bogor,Teknologi Industri Pertanian,63
Institut Pertanian Bogor,Teknologi Pangan,65
Institut Pertanian Bogor,Nutrisi Dan Teknologi Pakan,50
Institut Pertanian Bogor,Teknologi Produksi Ternak,40
Institut Pertanian Bogor,Teknik Sipil Dan Lingkungan,41
Institut Pertanian Bogor,Teknologi & Manajemen Perikanan Budidaya,50
Institut Pertanian Bogor,Ekonomi Pembangunan,37
Institut Pertanian Bogor,Manajemen,53
Institut Pertanian Bogor,Ilmu Gizi,37
Institut Pertanian Bogor,Ekonomi Syariah,35
Institut Pertanian Bogor,Manajemen Sumberdaya Lahan,35
Institut Pertanian Bogor,Proteksi Tanaman,40
Institut Pertanian Bogor,Manajemen Sumberdaya Perairan,39
Institut Pertanian Bogor,Teknologi Hasil Perairan,39
Institut Pertanian Bogor,Teknologi & Manajemen Perikanan Tangkap,38
Institut Pertanian Bogor,Silvikultur,32
Institut Pertanian Bogor,Meteorologi Terapan,35
Institut Pertanian Bogor,Matematika,31
Institut Pertanian Bogor,Fisika,35
Institut Pertanian Bogor,Ilmu Keluarga Dan Konsumen,37
Institut Pertanian Bogor,Bisnis,41
Institut Pertanian Bogor,Teknologi Hasil Ternak,28
Institut Pertanian Bogor,Aktuaria,27
Universitas Siliwangi,Pendidikan Matematika,84
Universitas Siliwangi,Pendidikan Biologi,72
Universitas Siliwangi,Agroteknologi ,72
Universitas Siliwangi,Agribisnis ,48
Universitas Siliwangi,Teknik Sipil ,48
Universitas Siliwangi,Teknik Elektro ,48
Universitas Siliwangi,Teknik Informatika,48
Universitas Siliwangi,Kesehatan Masyarakat,72
Universitas Siliwangi,Pendidikan Fisika,54
Universitas Siliwangi,Gizi,48
Universitas Islam Negeri Jakarta,Sosial Ekonomi Pertanian / Agribisnis,52
Universitas Islam Negeri Jakarta,Teknik Informatika,52
Universitas Islam Negeri Jakarta,Sistem Informasi,52
Universitas Islam Negeri Jakarta,Matematika,32
Universitas Islam Negeri Jakarta,Biologi,48
Universitas Islam Negeri Jakarta,Kimia,48
Universitas Islam Negeri Jakarta,Fisika,40
Universitas Islam Negeri Jakarta,Kesehatan Masyarakat,48
Universitas Islam Negeri Jakarta,Farmasi,44
Universitas Islam Negeri Jakarta,Ilmu Keperawatan,40
Universitas Islam Negeri Jakarta,Pendidikan Dokter,40
Universitas Islam Negeri Jakarta,Pendidikan Matematika,39
Universitas Islam Negeri Jakarta,Pendidikan Kimia,39
Universitas Islam Negeri Jakarta,Teknik Pertambangan,16
Universitas Negeri Jakarta,Pendidikan Matematika,20
Universitas Negeri Jakarta,Pendidikan Fisika,40
Universitas Negeri Jakarta,Pendidikan Kimia,40
Universitas Negeri Jakarta,Pendidikan Biologi,40
Universitas Negeri Jakarta,Matematika,20
Universitas Negeri Jakarta,Fisika,40
Universitas Negeri Jakarta,Kimia,23
Universitas Negeri Jakarta,Biologi,40
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Elektro,30
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Mesin,45
Universitas Negeri Jakarta,Pendidikan Vokasional Konstruksi  Bangunan,43
Universitas Negeri Jakarta,Ilmu Keolahragaan,30
Universitas Negeri Jakarta,Pendidikan Informatika,45
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Elektronika,40
Universitas Negeri Jakarta,Ilmu Komputer,20
Universitas Negeri Jakarta,Statistika,20
Universitas Negeri Jakarta,Rekayasa Keselamatan Kebakaran,20
"Upn ""Veteran"" Jakarta",Teknik Mesin,53
"Upn ""Veteran"" Jakarta",Teknik Perkapalan,35
"Upn ""Veteran"" Jakarta",Teknik Industri,53
"Upn ""Veteran"" Jakarta",Informatika,75
"Upn ""Veteran"" Jakarta",Sistem Informasi,75
"Upn ""Veteran"" Jakarta",Kedokteran,75
"Upn ""Veteran"" Jakarta",Keperawatan,40
"Upn ""Veteran"" Jakarta",Kesehatan Masyarakat,70
"Upn ""Veteran"" Jakarta",Gizi,53
"Upn ""Veteran"" Jakarta",Teknik Elektro,20
"Upn ""Veteran"" Jakarta",Farmasi,15
Universitas Jenderal Soedirman,Biologi,75
Universitas Jenderal Soedirman,Kimia,40
Universitas Jenderal Soedirman,Matematika,40
Universitas Jenderal Soedirman,Fisika,40
Universitas Jenderal Soedirman,Manajemen Sumberdaya Perairan,30
Universitas Jenderal Soedirman,Budidaya Perairan,30
Universitas Jenderal Soedirman,Teknik Pertanian,50
Universitas Jenderal Soedirman,Teknik Elektro,50
Universitas Jenderal Soedirman,Teknik Sipil,50
Universitas Jenderal Soedirman,Pendidikan Dokter,60
Universitas Jenderal Soedirman,Kesehatan Masyarakat,60
Universitas Jenderal Soedirman,Keperawatan,40
Universitas Jenderal Soedirman,Farmasi,50
Universitas Jenderal Soedirman,Teknik Geologi,30
Universitas Jenderal Soedirman,Ilmu Kelautan,30
Universitas Jenderal Soedirman,Agroteknologi,110
Universitas Jenderal Soedirman,Agribisnis,60
Universitas Jenderal Soedirman,Ilmu Dan Teknologi Pangan,50
Universitas Jenderal Soedirman,Peternakan,110
Universitas Jenderal Soedirman,Teknik Informatika,32
Universitas Jenderal Soedirman,Pendidikan Dokter Gigi,25
Universitas Jenderal Soedirman,Ilmu Gizi,40
Universitas Jenderal Soedirman,Pendidikan Jasmani Kesehatan Dan Rekreasi,35
Universitas Jenderal Soedirman,Teknik Industri,22
Universitas Tidar,Agroteknologi,48
Universitas Tidar,Teknik Sipil,48
Universitas Tidar,Teknik Mesin,48
Universitas Tidar,Teknik Elektro,48
Universitas Tidar,Peternakan,48
Universitas Tidar,Pendidikan Ilmu Pengetahuan Alam,48
Universitas Tidar,Pendidikan Biologi,48
Universitas Tidar,Pendidikan Matematika,48
Universitas Tidar,Akuakultur,48
Universitas Sebelas Maret,Kedokteran,110
Universitas Sebelas Maret,Psikologi,60
Universitas Sebelas Maret,Agroteknologi / Agroekoteknologi,100
Universitas Sebelas Maret,Agribisnis,60
Universitas Sebelas Maret,Peternakan,70
Universitas Sebelas Maret,Ilmu Dan Teknologi Pangan,50
Universitas Sebelas Maret,Teknik Sipil,80
Universitas Sebelas Maret,Arsitektur,50
Universitas Sebelas Maret,Teknik Industri,55
Universitas Sebelas Maret,Teknik Mesin,50
Universitas Sebelas Maret,Teknik Kimia,50
Universitas Sebelas Maret,Matematika,50
Universitas Sebelas Maret,Fisika,50
Universitas Sebelas Maret,Kimia,45
Universitas Sebelas Maret,Biologi,45
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota (Pwk),23
Universitas Sebelas Maret,Informatika,40
Universitas Sebelas Maret,Pendidikan Fisika,40
Universitas Sebelas Maret,Pendidikan Kimia,40
Universitas Sebelas Maret,Pendidikan Biologi,45
Universitas Sebelas Maret,Pendidikan Matematika,40
Universitas Sebelas Maret,Pendidikan Teknik Mesin,40
Universitas Sebelas Maret,Pendidikan Teknik Bangunan,40
Universitas Sebelas Maret,Pendidikan Teknik Informatika & Komputer,40
Universitas Sebelas Maret,Ilmu Tanah,50
Universitas Sebelas Maret,Penyuluhan Dan Komunikasi Pertanian,50
Universitas Sebelas Maret,Farmasi,30
Universitas Sebelas Maret,Teknik Elektro,40
Universitas Sebelas Maret,Statistika,50
Universitas Sebelas Maret,Pendidikan Ipa,40
Universitas Sebelas Maret,Ilmu Lingkungan,50
Universitas Sebelas Maret,Pengelolaan Hutan,25
Universitas Diponegoro,Kesehatan Masyarakat,150
Universitas Diponegoro,Kedokteran,85
Universitas Diponegoro,Keperawatan,60
Universitas Diponegoro,Gizi,65
Universitas Diponegoro,Matematika,70
Universitas Diponegoro,Biologi,83
Universitas Diponegoro,Kimia ,83
Universitas Diponegoro,Fisika,83
Universitas Diponegoro,Statistika,83
Universitas Diponegoro,Informatika,83
Universitas Diponegoro,Manajemen Sumberdaya Perairan,40
Universitas Diponegoro,Akuakultur,60
Universitas Diponegoro,Perikanan Tangkap,50
Universitas Diponegoro,Ilmu Kelautan  ,90
Universitas Diponegoro,Oceanografi  ,60
Universitas Diponegoro,Teknologi Hasil Perikanan,50
Universitas Diponegoro,Teknik Sipil,80
Universitas Diponegoro,Arsitektur,65
Universitas Diponegoro,Teknik Mesin,90
Universitas Diponegoro,Teknik Kimia,113
Universitas Diponegoro,Teknik Elektro,75
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,79
Universitas Diponegoro,Teknik Industri,75
Universitas Diponegoro,Teknik Lingkungan,60
Universitas Diponegoro,Teknik Perkapalan  ,65
Universitas Diponegoro,Teknik Geologi,45
Universitas Diponegoro,Teknik Geodesi,60
Universitas Diponegoro,Teknik Komputer,60
Universitas Diponegoro,Peternakan,125
Universitas Diponegoro,Teknologi Pangan,50
Universitas Diponegoro,Agroekoteknologi,50
Universitas Diponegoro,Agribisnis,50
Universitas Diponegoro,Kedokteran Gigi,13
Universitas Diponegoro,Farmasi,25
Universitas Diponegoro,Bioteknologi,45
Universitas Negeri Semarang,Pendidikan Matematika,76
Universitas Negeri Semarang,Pendidikan Fisika,42
Universitas Negeri Semarang,Pendidikan Kimia,42
Universitas Negeri Semarang,Pendidikan Biologi,42
Universitas Negeri Semarang,Pendidikan Teknik Bangunan,24
Universitas Negeri Semarang,Pendidikan Teknik Mesin,36
Universitas Negeri Semarang,Pendidikan Teknik Elektro,24
Universitas Negeri Semarang,Ilmu Keolahragaan,48
Universitas Negeri Semarang,Matematika,18
Universitas Negeri Semarang,Fisika,32
Universitas Negeri Semarang,Kimia,32
Universitas Negeri Semarang,Biologi,32
Universitas Negeri Semarang,Kesehatan Masyarakat,72
Universitas Negeri Semarang,Pendidikan Ipa,32
Universitas Negeri Semarang,Pend. Teknik Informatika & Komputer,24
Universitas Negeri Semarang,Teknik Arsitektur,24
Universitas Negeri Semarang,Pendidikan Teknik Otomotif,36
Universitas Negeri Semarang,Teknik Kimia,42
Universitas Negeri Semarang,Teknik Mesin,24
Universitas Negeri Semarang,Teknik Sipil,32
Universitas Negeri Semarang,Teknik Informatika,32
Universitas Negeri Semarang,Teknik Elektro,16
Universitas Negeri Semarang,Gizi,48
Universitas Negeri Semarang,Sistem Informasi,16
Universitas Negeri Semarang,Ilmu Lingkungan,16
Universitas Negeri Semarang,Farmasi,16
Universitas Islam Negeri Walisongo,Gizi,48
Universitas Islam Negeri Walisongo,Matematika,24
Universitas Islam Negeri Walisongo,Kimia,24
Universitas Islam Negeri Walisongo,Fisika,12
Universitas Islam Negeri Walisongo,Biologi,24
Universitas Islam Negeri Walisongo,Teknologi Informasi,24
Universitas Gadjah Mada,Biologi,102
Universitas Gadjah Mada,Farmasi,108
Universitas Gadjah Mada,Geografi Lingkungan,45
Universitas Gadjah Mada,Kartografi Dan Penginderaan Jauh,34
Universitas Gadjah Mada,Pembangunan Wilayah,30
Universitas Gadjah Mada,Kedokteran,79
Universitas Gadjah Mada,Ilmu Keperawatan,45
Universitas Gadjah Mada,Gizi Kesehatan,45
Universitas Gadjah Mada,Kedokteran Gigi,68
Universitas Gadjah Mada,Kedokteran Hewan,90
Universitas Gadjah Mada,Fisika,32
Universitas Gadjah Mada,Kimia,63
Universitas Gadjah Mada,Matematika,32
Universitas Gadjah Mada,Ilmu Komputer,32
Universitas Gadjah Mada,Statistika,27
Universitas Gadjah Mada,Geofisika,27
Universitas Gadjah Mada,Elektronika Dan Instrumentasi,32
Universitas Gadjah Mada,Agronomi,36
Universitas Gadjah Mada,Ilmu Tanah,27
Universitas Gadjah Mada,Ekonomi Pertanian Dan Agribisnis,36
Universitas Gadjah Mada,Proteksi Tanaman (Ilmu Hama Dan Penyakit Tumbuhan),30
Universitas Gadjah Mada,Penyuluhan Dan Komunikasi Pertanian,18
Universitas Gadjah Mada,Akuakultur (Budidaya Perikanan),27
Universitas Gadjah Mada,Teknologi Hasil Perikanan,27
Universitas Gadjah Mada,Manajemen Sumberdaya Akuatik (Manajemen Sumber Daya Perikanan),27
Universitas Gadjah Mada,Mikrobiologi Pertanian,14
Universitas Gadjah Mada,Ilmu Dan Industri Peternakan,135
Universitas Gadjah Mada,Arsitektur,36
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,36
Universitas Gadjah Mada,Teknik Geodesi,61
Universitas Gadjah Mada,Teknik Geologi,54
Universitas Gadjah Mada,Teknik Kimia,68
Universitas Gadjah Mada,Teknik Elektro,45
Universitas Gadjah Mada,Teknik Mesin,63
Universitas Gadjah Mada,Teknik Sipil,68
Universitas Gadjah Mada,Teknik Nuklir,30
Universitas Gadjah Mada,Teknik Fisika,54
Universitas Gadjah Mada,Teknik Industri,50
Universitas Gadjah Mada,Teknik Pertanian,45
Universitas Gadjah Mada,Teknologi Pangan Dan Hasil Pertanian,50
Universitas Gadjah Mada,Teknologi Industri Pertanian,50
Universitas Gadjah Mada,Higiene Gigi,23
Universitas Gadjah Mada,Kehutanan,124
Universitas Gadjah Mada,Teknologi Informasi,45
Universitas Gadjah Mada,Ilmu Aktuaria,18
Universitas Gadjah Mada,Manajemen,59
Universitas Gadjah Mada,Pariwisata,23
Universitas Negeri Yogyakarta,Pendidikan Matematika,32
Universitas Negeri Yogyakarta,Pendidikan Fisika,32
Universitas Negeri Yogyakarta,Pendidikan Kimia,32
Universitas Negeri Yogyakarta,Pendidikan Biologi,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Elektronika,16
Universitas Negeri Yogyakarta,Pendidikan Teknik Otomotif,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Mesin,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Elektro,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Sipil & Perencanaan,48
Universitas Negeri Yogyakarta,Matematika,32
Universitas Negeri Yogyakarta,Fisika,32
Universitas Negeri Yogyakarta,Kimia,32
Universitas Negeri Yogyakarta,Biologi,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Mekatronika,32
Universitas Negeri Yogyakarta,Pendidikan Teknik Informatika,16
Universitas Negeri Yogyakarta,Pendidikan Ipa,32
Universitas Negeri Yogyakarta,Ilmu Keolahragaan,16
Universitas Negeri Yogyakarta,Statistika,16
Universitas Negeri Yogyakarta,Pendidikan Jasmani Kesehatan Dan Rekreasi,80
Universitas Negeri Yogyakarta,Pendidikan Kepelatihan Olahraga,48
Universitas Negeri Yogyakarta,Pgsd Pendidikan Jasmani,48
Universitas Negeri Yogyakarta,Teknik Elektro,16
Universitas Negeri Yogyakarta,Teknologi Informasi,16
Universitas Negeri Yogyakarta,Teknik Manufaktur,16
"Upn ""Veteran"" Yogyakarta",Teknik Geologi,78
"Upn ""Veteran"" Yogyakarta",Teknik Pertambangan,90
"Upn ""Veteran"" Yogyakarta",Teknik Perminyakan,90
"Upn ""Veteran"" Yogyakarta",Teknik Lingkungan,63
"Upn ""Veteran"" Yogyakarta",Teknik Geofisika,45
"Upn ""Veteran"" Yogyakarta",Teknik Kimia,80
"Upn ""Veteran"" Yogyakarta",Teknik Industri,80
"Upn ""Veteran"" Yogyakarta",Teknik Informatika,100
"Upn ""Veteran"" Yogyakarta",Agroteknologi,125
"Upn ""Veteran"" Yogyakarta",Agribisnis,60
"Upn ""Veteran"" Yogyakarta",Metalurgi,30
"Upn ""Veteran"" Yogyakarta",Ilmu Tanah,60
"Upn ""Veteran"" Yogyakarta",Sistem Informasi,45
"Upn ""Veteran"" Yogyakarta",Teknik Geomatika,35
Universitas Islam Negeri Sunan Kalijaga,Matematika,27
Universitas Islam Negeri Sunan Kalijaga,Fisika,27
Universitas Islam Negeri Sunan Kalijaga,Kimia,27
Universitas Islam Negeri Sunan Kalijaga,Biologi,27
Universitas Islam Negeri Sunan Kalijaga,Teknik Informatika,27
Universitas Islam Negeri Sunan Kalijaga,Teknik Industri,27
Universitas Islam Negeri Sunan Kalijaga,Pendidikan Matematika,27
Universitas Islam Negeri Sunan Kalijaga,Pendidikan Fisika,27
Universitas Islam Negeri Sunan Kalijaga,Pendidikan Kimia,27
Universitas Islam Negeri Sunan Kalijaga,Pendidikan Biologi,27
Universitas Jember,Agroteknologi / Agroekoteknologi,75
Universitas Jember,Agribisnis,75
Universitas Jember,Pendidikan Matematika,72
Universitas Jember,Pendidikan Fisika,65
Universitas Jember,Pendidikan Biologi,70
Universitas Jember,Teknologi Hasil Pertanian,82
Universitas Jember,Teknik Pertanian,55
Universitas Jember,Pendidikan  Dokter Gigi,70
Universitas Jember,Matematika,60
Universitas Jember,Fisika,45
Universitas Jember,Kimia,40
Universitas Jember,Biologi,45
Universitas Jember,Pendidikan Dokter,70
Universitas Jember,Kesehatan Masyarakat,100
Universitas Jember,Teknik Mesin,60
Universitas Jember,Teknik Elektro,60
Universitas Jember,Teknik Sipil,72
Universitas Jember,Farmasi,80
Universitas Jember,Ilmu Keperawatan,100
Universitas Jember,Sistem Informasi,75
Universitas Jember,Teknologi Industri Pertanian,40
Universitas Jember,Ilmu Tanah,25
Universitas Jember,Proteksi Tanaman,25
Universitas Jember,Teknologi Informasi,50
Universitas Jember,Pendidikan Ipa,62
Universitas Jember,Perencanaan Wilayah Dan Kota,40
Universitas Jember,Teknik Kimia,60
Universitas Jember,Agronomi,25
Universitas Jember,Ilmu Pertanian,25
Universitas Jember,Informatika,50
Universitas Jember,Penyuluhan Pertanian,25
Universitas Jember,Teknik Lingkungan,40
Universitas Jember,Teknik Konstruksi Perkapalan,30
Universitas Jember,Peternakan,25
Universitas Jember,Gizi,25
Universitas Jember,Teknik Pertambangan,20
Universitas Jember,Teknik Perminyakan,20
Universitas Brawijaya,Manajemen Sumberdaya Perairan,72
Universitas Brawijaya,Budidaya Perairan,72
Universitas Brawijaya,Teknik Sipil,70
Universitas Brawijaya,Teknik Mesin,80
Universitas Brawijaya,Teknik Elektro,80
Universitas Brawijaya,Arsitektur,70
Universitas Brawijaya,Teknik Pengairan,70
Universitas Brawijaya,Pendidikan Dokter,100
Universitas Brawijaya,Ilmu Dan Teknologi Pangan,68
Universitas Brawijaya,Biologi,70
Universitas Brawijaya,Fisika,48
Universitas Brawijaya,Kimia,80
Universitas Brawijaya,Matematika,80
Universitas Brawijaya,Pemanfaatan Sumberdaya Perikanan,72
Universitas Brawijaya,Teknologi Hasil Perikanan,72
Universitas Brawijaya,Agrobisnis Perikanan,72
Universitas Brawijaya,Keteknikan Pertanian,52
Universitas Brawijaya,Statistika,80
Universitas Brawijaya,Perencanaan Wilayah & Kota,70
Universitas Brawijaya,Teknologi Industri Pertanian,100
Universitas Brawijaya,Ilmu Keperawatan,56
Universitas Brawijaya,Gizi Kesehatan / Ilmu Gizi,48
Universitas Brawijaya,Teknik Industri,80
Universitas Brawijaya,Teknik Informatika,96
Universitas Brawijaya,Agroekoteknologi,312
Universitas Brawijaya,Agribisnis,168
Universitas Brawijaya,Peternakan,264
Universitas Brawijaya,Pendidikan Dokter Hewan,80
Universitas Brawijaya,Pendidikan Dokter Gigi,40
Universitas Brawijaya,Ilmu Kelautan,72
Universitas Brawijaya,Kebidanan,44
Universitas Brawijaya,Farmasi,48
Universitas Brawijaya,Teknik Komputer,64
Universitas Brawijaya,Sistem Informasi,64
Universitas Brawijaya,Teknik Kimia,60
Universitas Brawijaya,Instrumentasi,36
Universitas Brawijaya,Teknik Geofisika,36
Universitas Brawijaya,Bioteknologi,52
Universitas Brawijaya,Teknologi Bioproses,36
Universitas Brawijaya,Teknik Lingkungan,52
Universitas Brawijaya,Pendidikan Teknologi Informasi,32
Universitas Brawijaya,Teknologi Informasi,32
Universitas Brawijaya,Agroekoteknologi (Psdku Kediri),20
Universitas Brawijaya,Agribisnis (Psdku Kediri),20
Universitas Brawijaya,Peternakan (Psdku Kediri),16
Universitas Brawijaya,Akuakultur (Psdku Kediri) ,20
Universitas Brawijaya,Sosial Ekonomi Perikanan (Psdku Kediri),20
Universitas Negeri Malang,Pendidikan Matematika  ,70
Universitas Negeri Malang,Pendidikan Fisika  ,53
Universitas Negeri Malang,Pendidikan Kimia ,55
Universitas Negeri Malang,Pendidikan Biologi ,55
Universitas Negeri Malang,Pendidikan Teknik Mesin ,50
Universitas Negeri Malang,Pendidikan Teknik Bangunan ,50
Universitas Negeri Malang,Pendidikan Teknik Informatika ,45
Universitas Negeri Malang,Pendidikan Teknik Otomotif ,50
Universitas Negeri Malang,Ilmu Keolahragaan ,43
Universitas Negeri Malang,Matematika ,70
Universitas Negeri Malang,Fisika ,60
Universitas Negeri Malang,Kimia ,55
Universitas Negeri Malang,Biologi ,55
Universitas Negeri Malang,Pendidikan Teknik Elektro ,45
Universitas Negeri Malang,Teknik Sipil,70
Universitas Negeri Malang,Pendidikan Ilmu Pengetahuan Alam,53
Universitas Negeri Malang,Ilmu Kesehatan Masyarakat,80
Universitas Negeri Malang,Teknik Mesin,30
Universitas Negeri Malang,Teknik Elektro,45
Universitas Negeri Malang,Teknik Informatika,45
Universitas Negeri Malang,Teknik Industri,30
Universitas Islam Negeri Malang,Matematika,66
Universitas Islam Negeri Malang,Biologi,66
Universitas Islam Negeri Malang,Kimia,66
Universitas Islam Negeri Malang,Fisika,50
Universitas Islam Negeri Malang,Teknik Informatika,90
Universitas Islam Negeri Malang,Teknik Arsitektur,68
Universitas Islam Negeri Malang,Farmasi,66
Universitas Islam Negeri Malang,Pendidikan Dokter,30
Universitas Airlangga,Pendidikan Dokter,100
Universitas Airlangga,Pendidikan Dokter Gigi,72
Universitas Airlangga,Pendidikan Apoteker,100
Universitas Airlangga,Kedokteran Hewan,100
Universitas Airlangga,Matematika,40
Universitas Airlangga,Biologi,40
Universitas Airlangga,Fisika,40
Universitas Airlangga,Kimia,40
Universitas Airlangga,Kesehatan Masyarakat,112
Universitas Airlangga,Pendidikan Ners,70
Universitas Airlangga,Budidaya Perairan,72
Universitas Airlangga,Pendidikan Bidan,30
Universitas Airlangga,Teknobiomedik,32
Universitas Airlangga,Ilmu Dan Teknologi Lingkungan,32
Universitas Airlangga,Sistem Informasi,32
Universitas Airlangga,Statistika,32
Universitas Airlangga,Ilmu Gizi,48
Universitas Airlangga,Pendidikan Dokter Hewan (Psdku Banyuwangi),20
Universitas Airlangga,Kesehatan Masyarakat (Psdku Banyuwangi),20
Universitas Airlangga,Budidaya Perairan (Psdku Banyuwangi),20
Universitas Airlangga,Teknologi Industri Hasil Perikanan,48
Universitas Airlangga,Ilmu Hukum,104
Institut Teknologi Sepuluh Nopember,Fisika,48
Institut Teknologi Sepuluh Nopember,Matematika,52
Institut Teknologi Sepuluh Nopember,Statistika,60
Institut Teknologi Sepuluh Nopember,Kimia,48
Institut Teknologi Sepuluh Nopember,Biologi,40
Institut Teknologi Sepuluh Nopember,Teknik Mesin,88
Institut Teknologi Sepuluh Nopember,Teknik Elektro,96
Institut Teknologi Sepuluh Nopember,Teknik Kimia,80
Institut Teknologi Sepuluh Nopember,Teknik Fisika,72
Institut Teknologi Sepuluh Nopember,Teknik Industri,80
Institut Teknologi Sepuluh Nopember,Teknik Material,64
Institut Teknologi Sepuluh Nopember,Teknik Sipil,60
Institut Teknologi Sepuluh Nopember,Arsitektur,40
Institut Teknologi Sepuluh Nopember,Teknik Lingkungan,48
Institut Teknologi Sepuluh Nopember,Teknik Geomatika,48
Institut Teknologi Sepuluh Nopember,Perencanaan Wilayah Dan Kota,44
Institut Teknologi Sepuluh Nopember,Teknik Perkapalan,36
Institut Teknologi Sepuluh Nopember,Teknik Kelautan,52
Institut Teknologi Sepuluh Nopember,Teknik Sistem Perkapalan,52
Institut Teknologi Sepuluh Nopember,Informatika,100
Institut Teknologi Sepuluh Nopember,Sistem Informasi,60
Institut Teknologi Sepuluh Nopember,Desain Produk Industri,27
Institut Teknologi Sepuluh Nopember,Teknik Transportasi Laut,20
